date,open,high,low,close,volume_ignore,market_cap_ignore,volume,market_cap
Apr-17-2022,39695.5398,41023.07301,38723.5499,40826.6711,60921696974,7.54E+11,60.92169697,754
Apr-16-2022,40374.3856,40565.43548,39617.521,39678.0001,31897051044,7.66E+11,31.89705104,766
Apr-15-2022,40554.4702,40645.81037,40005.0641,40386.5108,35562888235,7.68E+11,35.56288824,768
Apr-14-2022,39933.8888,40596.1495,39837.74414,40558.127,62222356110,7.65E+11,62.22235611,765
Apr-13-2022,41131.7362,41492.7993,39672.10327,39909.71687,1.11E+11,7.73E+11,111,773
Apr-12-2022,40074.96197,41377.56616,39608.70806,41160.0481,73354177156,7.69E+11,73.35417716,769
Apr-11-2022,39529.55042,40609.9682,39302.21334,40169.21512,80791296855,7.59E+11,80.79129686,759
Apr-10-2022,42149.9799,42396.2298,39356.5471,39456.93304,80332825509,7.84E+11,80.33282551,784
Apr-09-2022,42760.39588,42760.39588,42760.39588,42760.39588,52504199168,8.13E+11,52.50419917,813
Apr-08-2022,42251.5612,42788.71116,42173.73075,42788.71116,73792248078,8.07E+11,73.79224808,807
Apr-07-2022,43425.24409,43931.43943,42125.0692,42283.4292,66062123279,8.23E+11,66.06212328,823
Apr-06-2022,43154.77454,43855.3637,42814.9482,43480.17472,75865888668,8.26E+11,75.86588867,826
Apr-05-2022,45479.96945,45479.96945,43138.51947,43138.51947,82230669555,8.48E+11,82.23066956,848
Apr-04-2022,46598.16005,47143.74184,45573.53741,45573.53741,1.08E+11,8.81E+11,108,881
Apr-03-2022,46429.49649,46853.4882,45201.06871,46605.60297,75797947520,8.75E+11,75.79794752,875
Apr-02-2022,45793.52919,47331.9547,45556.13118,46430.69671,53182050972,8.80E+11,53.18205097,880
Apr-01-2022,46249.9684,47025.37805,45768.23516,45845.95756,68534723186,8.82E+11,68.53472319,882
Mar-31-2022,45520.19684,46608.67518,44376.97933,46231.00476,82428634330,8.65E+11,82.42863433,865
Mar-30-2022,47055.99305,47559.98455,45380.4937,45540.82639,64306786076,8.86E+11,64.30678608,886
Mar-29-2022,47442.24333,47686.71894,46698.33856,47100.45937,60347299812,8.97E+11,60.34729981,897
Mar-28-2022,47086.20129,47988.53829,47032.00503,47498.66565,64970232761,9.03E+11,64.97023276,903
Mar-27-2022,46824.60641,48129.97387,46711.00479,46888.22115,72557284891,8.98E+11,72.55728489,898
Mar-26-2022,44532.13385,46842.71955,44438.29619,46842.71955,38989618745,8.54E+11,38.98961875,854
Mar-25-2022,44314.41581,44769.8851,44162.89066,44533.21742,52033351154,8.43E+11,52.03335115,843
Mar-24-2022,43997.59787,45054.744,43775.9828,44365.18255,64975617209,8.41E+11,64.97561721,841
Mar-23-2022,42901.78799,44196.38125,42726.38466,43948.89113,58305154460,8.23E+11,58.30515446,823
Mar-22-2022,42362.02323,42925.97798,41810.05689,42925.97798,55434469876,8.02E+11,55.43446988,802
Mar-21-2022,41064.53843,43176.92782,40940.05474,42376.74422,66069747399,8.06E+11,66.0697474,806
Mar-20-2022,41219.86354,41498.26617,40534.25117,41051.83346,48679170660,7.80E+11,48.67917066,780
Mar-19-2022,42207.51024,42279.9997,40980.51146,41252.05199,39440414009,7.90E+11,39.44041401,790
Mar-18-2022,41752.50102,42357.0528,41585.95812,42166.22954,47396630066,7.94E+11,47.39663007,794
Mar-17-2022,40912.96043,42231.7199,40255.88647,41767.09817,53167419719,7.77E+11,53.16741972,777
Mar-16-2022,41115.36918,41306.80617,40600.029,40958.22516,68916952832,7.76E+11,68.91695283,776
Mar-15-2022,39301.17956,41538.6006,38964.63682,41147.27989,74235084060,7.64E+11,74.23508406,764
Mar-14-2022,39669.01847,39805.39961,38230.9419,39302.01679,54149954759,7.40E+11,54.14995476,740
Mar-13-2022,37784.66665,39808.38173,37590.8815,39599.02437,47001002610,7.35E+11,47.00100261,735
Mar-12-2022,38803.98637,39220.9441,37670.38924,37824.35153,33924499228,7.38E+11,33.92449923,738
Mar-11-2022,38729.04139,39321.4025,38722.9222,38875.98605,56650400299,7.42E+11,56.6504003,742
Mar-10-2022,39427.62799,40118.98829,38291.8488,38770.04591,73106728690,7.39E+11,73.10672869,739
Mar-09-2022,41950.43524,42002.18786,38770.03143,39461.35102,1.18E+11,7.52E+11,118,752
Mar-08-2022,38741.22398,42508.69721,38680.08468,41955.06532,81739633849,7.88E+11,81.73963385,788
Mar-07-2022,38021.16231,39333.7131,38021.16231,38724.82009,87695148501,7.33E+11,87.6951485,733
Mar-06-2022,38398.93546,39399.96846,37172.81813,37991.87947,61781654514,7.26E+11,61.78165451,726
Mar-05-2022,39399.035,39637.1481,38155.2867,38385.18525,40023234667,7.40E+11,40.02323467,740
Mar-04-2022,39144.65309,39576.6006,38750.39689,39409.21247,59407483445,7.43E+11,59.40748345,743
Mar-03-2022,42465.00663,42498.51626,38732.82492,39120.0424,73188777467,7.77E+11,73.18877747,777
Mar-02-2022,43901.74614,44035.45904,41862.5181,42450.88343,66512987511,8.18E+11,66.51298751,818
Mar-01-2022,44404.9179,45173.5809,43387.8769,43938.47684,77745565525,8.36E+11,77.74556553,836
